text,intent,entities
When will Fitbit be back in stock? thank you,product_inquiry,{'product': 'Fitbit'}
Can you tell me Can you check where order XI19587 is?,order_status,{'order_id': 'XI19587'}
"Hey, How do I return Instant Pot?",refund_request,{'product': 'Instant Pot'}
"Hi, The app crashes when I add to cart",technical_support,{'action': 'add to cart'}
What are the specs for the PlayStation 5? thank you,product_inquiry,{'product': 'PlayStation 5'}
I was wondering Can you check where order IG74923 is?,order_status,{'order_id': 'IG74923'}
"Hi, How do I reset my password?",account_help,{}
"Hello, Can you check where order IG25228 is?",order_status,{'order_id': 'IG25228'}
"Hello, What's the status of order #RW47218?",order_status,{'order_id': 'RW47218'}
"Hello, What are the specs for the Nike Air Force?",product_inquiry,{'product': 'Nike Air Force'}
"Hey, My password isn't working",account_help,{}
"Hi, Has order #BN12091 shipped yet?",order_status,{'order_id': 'BN12091'}
"Hey, I'm getting error 500 when trying to add to cart",technical_support,"{'action': 'add to cart', 'error_code': '500'}"
My password isn't working please,account_help,{}
The website won't let me checkout please,technical_support,{'action': 'checkout'}
Can you tell me Do you have Kindle in black?,product_inquiry,"{'product': 'Kindle', 'color': 'black'}"
Can you tell me What are the specs for the Kindle?,product_inquiry,{'product': 'Kindle'}
Can you tell me I'm getting error 404 when trying to update payment info,technical_support,"{'action': 'update payment info', 'error_code': '404'}"
"Hello, Has order #RF32081 shipped yet?",order_status,{'order_id': 'RF32081'}
"Hi, Has order #TK81363 shipped yet?",order_status,{'order_id': 'TK81363'}
How do I return iPhone??,refund_request,{'product': 'iPhone'}
When will Fitbit be back in stock? thanks,product_inquiry,{'product': 'Fitbit'}
"Hello, My password isn't working",account_help,{}
I was wondering My password isn't working,account_help,{}
"I was wondering The Fitbit arrived damaged, I need a refund",refund_request,{'product': 'Fitbit'}
What are the specs for the Instant Pot? thank you,product_inquiry,{'product': 'Instant Pot'}
I can't login to my account thank you,account_help,{}
Has order #NE91684 shipped yet? thank you,order_status,{'order_id': 'NE91684'}
When will PlayStation 5 be back in stock? please,product_inquiry,{'product': 'PlayStation 5'}
Can you tell me Can you check where order JL27116 is?,order_status,{'order_id': 'JL27116'}
I was wondering What are the specs for the AirPods?,product_inquiry,{'product': 'AirPods'}
"The Dyson vacuum arrived damaged, I need a refund...",refund_request,{'product': 'Dyson vacuum'}
I was wondering When will PlayStation 5 be back in stock?,product_inquiry,{'product': 'PlayStation 5'}
The app crashes when I update payment info thanks,technical_support,{'action': 'update payment info'}
How do I return AirPods? thank you,refund_request,{'product': 'AirPods'}
Can you tell me Do you have Kindle in white?,product_inquiry,"{'product': 'Kindle', 'color': 'white'}"
How do I reset my password? please,account_help,{}
I'm getting error 500 when trying to checkout thank you,technical_support,"{'action': 'checkout', 'error_code': '500'}"
"Hello, Has order #CG87374 shipped yet?",order_status,{'order_id': 'CG87374'}
I want to return my AirPods thank you,refund_request,{'product': 'AirPods'}
"Hey, The website won't let me checkout",technical_support,{'action': 'checkout'}
Can you tell me When will iPhone be back in stock?,product_inquiry,{'product': 'iPhone'}
I want to return my Nike Air Force please,refund_request,{'product': 'Nike Air Force'}
"Hello, Has order #FE84665 shipped yet?",order_status,{'order_id': 'FE84665'}
The app crashes when I add to cart thank you,technical_support,{'action': 'add to cart'}
I can't login to my account...,account_help,{}
My password isn't working please,account_help,{}
"Hi, The Nike Air Force arrived damaged, I need a refund",refund_request,{'product': 'Nike Air Force'}
When will PlayStation 5 be back in stock? thanks,product_inquiry,{'product': 'PlayStation 5'}
The app crashes when I login...,technical_support,{'action': 'login'}
"Hi, Has order #EG83447 shipped yet?",order_status,{'order_id': 'EG83447'}
I was wondering I want to return my Instant Pot,refund_request,{'product': 'Instant Pot'}
What are the specs for the Instant Pot?...,product_inquiry,{'product': 'Instant Pot'}
"Hey, How do I reset my password?",account_help,{}
Has order #AL03950 shipped yet? please,order_status,{'order_id': 'AL03950'}
I want to return my PlayStation 5 thank you,refund_request,{'product': 'PlayStation 5'}
"Hello, What's the status of order #QR57351?",order_status,{'order_id': 'QR57351'}
I want to return my PlayStation 5...,refund_request,{'product': 'PlayStation 5'}
"Hello, The PlayStation 5 arrived damaged, I need a refund",refund_request,{'product': 'PlayStation 5'}
How do I reset my password??,account_help,{}
Do you have PlayStation 5 in red?...,product_inquiry,"{'product': 'PlayStation 5', 'color': 'red'}"
My password isn't working thank you,account_help,{}
"Hi, The website won't let me checkout",technical_support,{'action': 'checkout'}
I can't login to my account...,account_help,{}
I was wondering I want to return my AirPods,refund_request,{'product': 'AirPods'}
Do you have Instant Pot in space gray?...,product_inquiry,"{'product': 'Instant Pot', 'color': 'space gray'}"
My password isn't working?,account_help,{}
The app crashes when I add to cart?,technical_support,{'action': 'add to cart'}
I was wondering I'm getting error 404 when trying to login,technical_support,"{'action': 'login', 'error_code': '404'}"
I can't login to my account thank you,account_help,{}
Can you tell me When will MacBook Pro be back in stock?,product_inquiry,{'product': 'MacBook Pro'}
Can you tell me How do I return PlayStation 5?,refund_request,{'product': 'PlayStation 5'}
"Hi, I want to return my Dyson vacuum",refund_request,{'product': 'Dyson vacuum'}
The website won't let me login thanks,technical_support,{'action': 'login'}
How do I reset my password??,account_help,{}
"I was wondering The Instant Pot arrived damaged, I need a refund",refund_request,{'product': 'Instant Pot'}
"Hi, I want to return my iPhone",refund_request,{'product': 'iPhone'}
When will Dyson vacuum be back in stock? please,product_inquiry,{'product': 'Dyson vacuum'}
Has order #NO50167 shipped yet??,order_status,{'order_id': 'NO50167'}
I want to return my Fitbit...,refund_request,{'product': 'Fitbit'}
Can you tell me The app crashes when I add to cart,technical_support,{'action': 'add to cart'}
"Hello, I can't login to my account",account_help,{}
I'm getting error ERR_TIMEOUT when trying to login please,technical_support,"{'action': 'login', 'error_code': 'ERR_TIMEOUT'}"
"Hi, What's the status of order #DF62314?",order_status,{'order_id': 'DF62314'}
"Can you tell me The Instant Pot arrived damaged, I need a refund",refund_request,{'product': 'Instant Pot'}
"Hey, The Nike Air Force arrived damaged, I need a refund",refund_request,{'product': 'Nike Air Force'}
"Hello, I'm getting error ERR_CONNECTION_REFUSED when trying to login",technical_support,"{'action': 'login', 'error_code': 'ERR_CONNECTION_REFUSED'}"
My password isn't working thank you,account_help,{}
"Hi, Can you check where order FY75499 is?",order_status,{'order_id': 'FY75499'}
Can you tell me I'm getting error ERR_CONNECTION_REFUSED when trying to update payment info,technical_support,"{'action': 'update payment info', 'error_code': 'ERR_CONNECTION_REFUSED'}"
"Hi, The app crashes when I add to cart",technical_support,{'action': 'add to cart'}
"Hello, When will Instant Pot be back in stock?",product_inquiry,{'product': 'Instant Pot'}
Can you tell me What are the specs for the Samsung Galaxy?,product_inquiry,{'product': 'Samsung Galaxy'}
Can you tell me When will Dyson vacuum be back in stock?,product_inquiry,{'product': 'Dyson vacuum'}
I'm getting error ERR_CONNECTION_REFUSED when trying to checkout...,technical_support,"{'action': 'checkout', 'error_code': 'ERR_CONNECTION_REFUSED'}"
Do you have PlayStation 5 in blue?...,product_inquiry,"{'product': 'PlayStation 5', 'color': 'blue'}"
I'm getting error ERR_CONNECTION_REFUSED when trying to view my orders thank you,technical_support,"{'action': 'view my orders', 'error_code': 'ERR_CONNECTION_REFUSED'}"
"Hi, What's the status of order #BJ34492?",order_status,{'order_id': 'BJ34492'}
What's the status of order #YQ52687?...,order_status,{'order_id': 'YQ52687'}
"Hey, Do you have Kindle in black?",product_inquiry,"{'product': 'Kindle', 'color': 'black'}"
I was wondering What are the specs for the Nike Air Force?,product_inquiry,{'product': 'Nike Air Force'}
"Hello, The Instant Pot arrived damaged, I need a refund",refund_request,{'product': 'Instant Pot'}
How do I reset my password? thanks,account_help,{}
Can you tell me I'm getting error ERR_TIMEOUT when trying to update payment info,technical_support,"{'action': 'update payment info', 'error_code': 'ERR_TIMEOUT'}"
"Hi, How do I reset my password?",account_help,{}
What are the specs for the Dyson vacuum? thanks,product_inquiry,{'product': 'Dyson vacuum'}
"Hey, What are the specs for the PlayStation 5?",product_inquiry,{'product': 'PlayStation 5'}
How do I return MacBook Pro?...,refund_request,{'product': 'MacBook Pro'}
I was wondering How do I return Instant Pot?,refund_request,{'product': 'Instant Pot'}
"Hello, I want to return my Kindle",refund_request,{'product': 'Kindle'}
Has order #NI19342 shipped yet? please,order_status,{'order_id': 'NI19342'}
"The Kindle arrived damaged, I need a refund...",refund_request,{'product': 'Kindle'}
Has order #SY87701 shipped yet??,order_status,{'order_id': 'SY87701'}
Do you have iPhone in silver? thanks,product_inquiry,"{'product': 'iPhone', 'color': 'silver'}"
Has order #NH94327 shipped yet? please,order_status,{'order_id': 'NH94327'}
"Hi, I can't login to my account",account_help,{}
"Hi, How do I return Nike Air Force?",refund_request,{'product': 'Nike Air Force'}
"Hey, Has order #JQ66441 shipped yet?",order_status,{'order_id': 'JQ66441'}
I was wondering Do you have Dyson vacuum in space gray?,product_inquiry,"{'product': 'Dyson vacuum', 'color': 'space gray'}"
My password isn't working...,account_help,{}
"The Instant Pot arrived damaged, I need a refund thank you",refund_request,{'product': 'Instant Pot'}
"Hello, How do I reset my password?",account_help,{}
Has order #WW90570 shipped yet? thank you,order_status,{'order_id': 'WW90570'}
Do you have iPhone in white??,product_inquiry,"{'product': 'iPhone', 'color': 'white'}"
What are the specs for the AirPods? thanks,product_inquiry,{'product': 'AirPods'}
"Hey, The website won't let me add to cart",technical_support,{'action': 'add to cart'}
What are the specs for the iPhone? thanks,product_inquiry,{'product': 'iPhone'}
I'm getting error 500 when trying to checkout...,technical_support,"{'action': 'checkout', 'error_code': '500'}"
I want to return my Fitbit?,refund_request,{'product': 'Fitbit'}
What's the status of order #VA00325?...,order_status,{'order_id': 'VA00325'}
"Hi, My password isn't working",account_help,{}
Can you tell me How do I reset my password?,account_help,{}
"Hello, I can't login to my account",account_help,{}
"Hey, Has order #WF05321 shipped yet?",order_status,{'order_id': 'WF05321'}
When will Samsung Galaxy be back in stock?...,product_inquiry,{'product': 'Samsung Galaxy'}
"Hello, The app crashes when I checkout",technical_support,{'action': 'checkout'}
The app crashes when I update payment info please,technical_support,{'action': 'update payment info'}
"Hey, The AirPods arrived damaged, I need a refund",refund_request,{'product': 'AirPods'}
What's the status of order #PQ68687??,order_status,{'order_id': 'PQ68687'}
I want to return my AirPods thank you,refund_request,{'product': 'AirPods'}
"Hey, Do you have iPhone in space gray?",product_inquiry,"{'product': 'iPhone', 'color': 'space gray'}"
"Hello, The app crashes when I view my orders",technical_support,{'action': 'view my orders'}
Can you tell me What are the specs for the Kindle?,product_inquiry,{'product': 'Kindle'}
Do you have Fitbit in silver??,product_inquiry,"{'product': 'Fitbit', 'color': 'silver'}"
"Hello, How do I reset my password?",account_help,{}
"Can you tell me The MacBook Pro arrived damaged, I need a refund",refund_request,{'product': 'MacBook Pro'}
"I was wondering The Dyson vacuum arrived damaged, I need a refund",refund_request,{'product': 'Dyson vacuum'}
"Can you tell me The Dyson vacuum arrived damaged, I need a refund",refund_request,{'product': 'Dyson vacuum'}
Can you tell me My password isn't working,account_help,{}
The app crashes when I login...,technical_support,{'action': 'login'}
The app crashes when I login thank you,technical_support,{'action': 'login'}
"Hi, My password isn't working",account_help,{}
